PostalCode,Province,City,Latitude,Longitude,AreaCode,TimeZone,DST
A0A 0C8,NL,Makinsons,47.505721,-53.291018,709,-0330,Y
A0A 0C9,NL,Harbour Grace,47.696724,-53.21369,709,-0330,Y
A0A 0E1,NL,Lower Island Cove,48.00203,-52.988423,709,-0330,Y
A0A 0E2,NL,Port de Grave,47.596709,-53.196334,709,-0330,Y
A0A 0E3,NL,Renews,46.931691,-52.940311,709,-0330,Y
A0A 0E4,NL,Victoria CB,47.765869,-53.240239,709,-0330,Y
A0A 0E5,NL,Spaniards Bay,47.58166,-53.273277,709,-0330,Y
A0A 0E6,NL,Bay de Verde,48.085194,-52.895034,709,-0330,Y
A0A 0E7,NL,Bell Island Front,47.627585,-52.94108,709,-0330,Y
A0A 0E8,NL,Brigus,47.535825,-53.207761,709,-0330,Y
A0A 0E9,NL,Grates Cove,48.163021,-52.932836,709,-0330,Y
A0A 0G1,NL,Upper Island Cove,47.648062,-53.212829,709,-0330,Y
A0A 0G2,NL,Witless Bay,47.28265,-52.829908,709,-0330,Y
A0A 0G3,NL,Woodfords,47.326159,-53.142724,709,-0330,Y
A0A 0G4,NL,Cupids,47.561551,-53.205869,709,-0330,Y
A0A 0G5,NL,Calvert,47.053371,-52.911099,709,-0330,Y
A0A 0G6,NL,Tors Cove,47.216688,-52.851474,709,-0330,Y
A0A 0G7,NL,Cappahayden,46.88541,-52.935499,709,-0330,Y
A0A 0G8,NL,Old Perlican,48.082531,-53.005519,709,-0330,Y
A0A 0G9,NL,Shea Heights,47.514235,-52.68935,709,-0330,Y
A0A 0H1,NL,Riverhead Harbour Grace,47.326159,-53.142724,709,-0330,Y
A0A 0H2,NL,Bay Roberts,47.598168,-53.257591,709,-0330,Y
A0A 1A0,NL,Aquaforte,47.006499,-52.958695,709,-0330,Y
A0A 1B0,NL,Avondale,47.420665,-53.198308,709,-0330,Y
A0A 1C0,NL,Bay Bulls,47.318591,-52.817795,709,-0330,Y
A0A 1E0,NL,Bay de Verde,48.085194,-52.895034,709,-0330,Y
A0A 1G0,NL,Bay Roberts,47.598168,-53.257591,709,-0330,Y
A0A 1H0,NL,Bell Island Front,47.627585,-52.94108,709,-0330,Y
A0A 1J0,NL,Shea Heights,47.514235,-52.68935,709,-0330,Y
A0A 1K0,NL,Brigus,47.535825,-53.207761,709,-0330,Y
A0A 1L0,NL,Broad Cove BDV,47.837682,-53.098649,709,-0330,Y
A0A 1M0,NL,Burnt Point BDV,47.957128,-53.041863,709,-0330,Y
A0A 1N0,NL,Calvert,47.053371,-52.911099,709,-0330,Y
A0A 1P0,NL,Cape Broyle,47.095251,-52.95655,709,-0330,Y
A0A 1R0,NL,Caplin Cove BDV,48.036331,-52.987819,709,-0330,Y
A0A 1S0,NL,Cappahayden,46.88541,-52.935499,709,-0330,Y
A0A 1V0,NL,Chapel Cove,47.438556,-53.134132,709,-0330,Y
A0A 1W0,NL,Clarkes Beach,47.552354,-53.285857,709,-0330,Y
A0A 1X0,NL,Coleys Point South,47.572978,-53.27495,709,-0330,Y
A0A 1Y0,NL,Colliers Riverhead,47.467828,-53.223678,709,-0330,Y
A0A 1Z0,NL,Conception Harbour,47.455359,-53.190089,709,-0330,Y
A0A 2B0,NL,Cupids,47.561551,-53.205869,709,-0330,Y
A0A 2G0,NL,Fermeuse,46.976139,-52.944003,709,-0330,Y
A0A 2H0,NL,Ferryland,47.035664,-52.884379,709,-0330,Y
A0A 2L0,NL,Grates Cove,48.163021,-52.932836,709,-0330,Y
A0A 2M0,NL,Harbour Grace,47.696724,-53.21369,709,-0330,Y
A0A 2N0,NL,Harbour Grace South,47.682015,-53.212057,709,-0330,Y
A0A 2P0,NL,Harbour Main,47.432795,-53.160254,709,-0330,Y
A0A 2R0,NL,Holyrood,47.385223,-53.128347,709,-0330,Y
A0A 2S0,NL,Jobs Cove,47.977943,-53.014627,709,-0330,Y
A0A 2W0,NL,Lower Island Cove,48.00203,-52.988423,709,-0330,Y
A0A 2X0,NL,Makinsons,47.505721,-53.291018,709,-0330,Y
A0A 2Z0,NL,Marysvale,47.494718,-53.227094,709,-0330,Y
A0A 3A0,NL,Mobile,47.248841,-52.841936,709,-0330,Y
A0A 3B0,NL,Northern Bay,47.943881,-53.068237,709,-0330,Y
A0A 3C0,NL,North River,47.542792,-53.314469,709,-0330,Y
A0A 3E0,NL,Ochre Pit Cove,47.922646,-53.071328,709,-0330,Y
A0A 3G0,NL,Old Perlican,48.082531,-53.005519,709,-0330,Y
A0A 3H0,NL,Petty Harbour,47.596709,-53.196334,709,-0330,Y
A0A 3J0,NL,Port de Grave,47.596709,-53.196334,709,-0330,Y
A0A 3L0,NL,Pouch Cove,47.763632,-52.765906,709,-0330,Y
A0A 3M0,NL,Red Head Cove,48.130929,-52.895806,709,-0330,Y
A0A 3N0,NL,Renews,46.931691,-52.940311,709,-0330,Y
A0A 3P0,NL,Riverhead Harbour Grace,47.326159,-53.142724,709,-0330,Y
A0A 3R0,NL,St Shotts,46.632147,-53.586987,709,-0330,Y
A0A 3S0,NL,Salmon Cove BDV,47.782033,-53.175116,709,-0330,Y
A0A 3W0,NL,South River,47.524925,-53.266122,709,-0330,Y
A0A 3X0,NL,Spaniards Bay,47.58166,-53.273277,709,-0330,Y
A0A 3X1,NL,Spaniards Bay,47.628791,-53.301406,709,-0330,Y
A0A 4A0,NL,Tors Cove,47.216688,-52.851474,709,-0330,Y
A0A 4B0,NL,Trepassey,46.733118,-53.367969,709,-0330,Y
A0A 4E0,NL,Upper Island Cove,47.648062,-53.212829,709,-0330,Y
A0A 4G0,NL,Victoria CB,47.765869,-53.240239,709,-0330,Y
A0A 4H0,NL,Bell Island,47.641017,-52.95655,709,-0330,Y
A0A 4J0,NL,Western Bay,47.896937,-53.078203,709,-0330,Y
A0A 4K0,NL,Witless Bay,47.28265,-52.829908,709,-0330,Y
A0A 4L0,NL,Woodfords,47.326159,-53.142724,709,-0330,Y
A0B 0A1,NL,Chance Cove,47.650815,-53.800656,709,-0330,Y
A0B 0A2,NL,Come by Chance,47.802766,-53.998434,709,-0330,Y
A0B 0A3,NL,Dildo,47.562835,-53.548584,709,-0330,Y
A0B 0A4,NL,Winterton,47.955667,-53.329588,709,-0330,Y
A0B 0A5,NL,Bellevue,47.639815,-53.731411,709,-0330,Y
A0B 0A6,NL,Heart's Content,47.872161,-53.368424,709,-0330,Y
A0B 0A7,NL,Brigus Junction,47.37494,-53.275376,709,-0330,Y
A0B 0A8,NL,Branch,46.88206,-53.953498,709,-0330,Y
A0B 0A9,NL,Brownsdale,48.03057,-53.115147,709,-0330,Y
A0B 0B1,NL,Cavendish,47.723655,-53.492911,709,-0330,Y
A0B 0B2,NL,Freshwater PB,47.364083,-53.857708,709,-0330,Y
A0B 0B3,NL,Jerseyside,47.364083,-53.857708,709,-0330,Y
A0B 0B4,NL,Long Harbour,47.364083,-53.857708,709,-0330,Y
A0B 0B5,NL,St Brides,46.920845,-54.171463,709,-0330,Y
A0B 0B6,NL,Chapel Arm,47.518965,-53.674622,709,-0330,Y
A0B 0B7,NL,Fair Haven,47.540039,-53.895937,709,-0330,Y
A0B 0B8,NL,Greens Harbour,47.649613,-53.500732,709,-0330,Y
A0B 0B9,NL,Placentia,47.364083,-53.857708,709,-0330,Y
A0B 0C1,NL,Sunnyside,47.897371,-53.949718,709,-0330,Y
A0B 0C2,NL,Whitbourne,47.420064,-53.535784,709,-0330,Y
A0B 0C3,NL,Arnolds Cove,47.772662,-53.9785,709,-0330,Y
A0B 0C4,NL,St Vincents,46.75522,-53.585959,709,-0330,Y
A0B 0C5,NL,Ship Harbour PB,47.364083,-53.857708,709,-0330,Y
A0B 0C6,NL,Colinet,47.219266,-53.552108,709,-0330,Y
A0B 0C7,NL,Mount Carmel,47.132321,-53.497723,709,-0330,Y
A0B 0C8,NL,New Harbour TB,47.584839,-53.543171,709,-0330,Y
A0B 0C9,NL,Southern Harbour PB,47.714619,-53.972145,709,-0330,Y
A0B 0E1,NL,Blaketown,47.491019,-53.551593,709,-0330,Y
A0B 0E2,NL,Normans Cove,47.561807,-53.695672,709,-0330,Y
A0B 0E3,NL,St Marys,46.912417,-53.575563,709,-0330,Y
A0B 0E4,NL,Hopeall,47.627756,-53.506916,709,-0330,Y
A0B 0E5,NL,Whiteway,47.665428,-53.485436,709,-0330,Y
A0B 0E6,NL,Dunville,47.364083,-53.857708,709,-0330,Y
A0B 0E7,NL,Hants Harbour,48.005558,-53.26773,709,-0330,Y
A0B 0E8,NL,Islington,47.759507,-53.481573,709,-0330,Y
A0B 0E9,NL,Fox Harbour PB,47.32123,-53.91255,709,-0330,Y
A0B 1A0,NL,Arnolds Cove,47.772662,-53.9785,709,-0330,Y
A0B 1B0,NL,Bellevue,47.639815,-53.731411,709,-0330,Y
A0B 1C0,NL,Blaketown,47.491019,-53.551593,709,-0330,Y
A0B 1E0,NL,Branch,46.88206,-53.953498,709,-0330,Y
A0B 1G0,NL,Brigus Junction,47.37494,-53.275376,709,-0330,Y
A0B 1H0,NL,Brownsdale,48.03057,-53.115147,709,-0330,Y
A0B 1J0,NL,Cavendish,47.723655,-53.492911,709,-0330,Y
A0B 1K0,NL,Chance Cove,47.650815,-53.800656,709,-0330,Y
A0B 1L0,NL,Chapel Arm,47.524187,-53.672668,709,-0330,Y
A0B 1M0,NL,Colinet,47.219266,-53.552108,709,-0330,Y
A0B 1N0,NL,Come by Chance,47.802766,-53.998434,709,-0330,Y
A0B 1P0,NL,Dildo,47.562835,-53.548584,709,-0330,Y
A0B 1R0,NL,South Dildo,47.530146,-53.549274,709,-0330,Y
A0B 1S0,NL,Dunville,47.364083,-53.857708,709,-0330,Y
A0B 1T0,NL,Fair Haven,47.540039,-53.895937,709,-0330,Y
A0B 1V0,NL,Fox Harbour PB,47.31754,-53.91409,709,-0330,Y
A0B 1W0,NL,Freshwater PB,47.364083,-53.857708,709,-0330,Y
A0B 1X0,NL,Greens Harbour,47.649613,-53.500732,709,-0330,Y
A0B 1Y0,NL,Hants Harbour,48.005558,-53.26773,709,-0330,Y
A0B 1Z0,NL,Heart's Content,47.872161,-53.368424,709,-0330,Y
A0B 2A0,NL,Heart's Delight,47.770425,-53.463012,709,-0330,Y
A0B 2B0,NL,Heart's Desire,47.810467,-53.445571,709,-0330,Y
A0B 2C0,NL,Hopeall,47.627756,-53.506916,709,-0330,Y
A0B 2E0,NL,Islington,47.759507,-53.481573,709,-0330,Y
A0B 2G0,NL,Jerseyside,47.364083,-53.857708,709,-0330,Y
A0B 2H0,NL,Little Harbour East PB,47.649326,-53.933973,709,-0330,Y
A0B 2J0,NL,Long Harbour,47.364083,-53.857708,709,-0330,Y
A0B 2L0,NL,Mount Arlington Heights,47.364083,-53.857708,709,-0330,Y
A0B 2M0,NL,Mount Carmel,47.132321,-53.497723,709,-0330,Y
A0B 2N0,NL,New Chelsea,48.025673,-53.219014,709,-0330,Y
A0B 2P0,NL,New Harbour TB,47.584839,-53.543171,709,-0330,Y
A0B 2R0,NL,New Melbourne,48.043557,-53.15063,709,-0330,Y
A0B 2S0,NL,New Perlican,47.907784,-53.361034,709,-0330,Y
A0B 2T0,NL,Normans Cove,47.561807,-53.695672,709,-0330,Y
A0B 2V0,NL,North Harbour SMB,47.175399,-53.642834,709,-0330,Y
A0B 2W0,NL,Old Shop,47.364083,-53.857708,709,-0330,Y
A0B 2Y0,NL,Placentia,47.216211,-53.911583,709,-0330,Y
A0B 2Z0,NL,St Brides,46.920845,-54.171463,709,-0330,Y
A0B 3A0,NL,Mount Carmel,47.132321,-53.497723,709,-0330,Y
A0B 3B0,NL,St Marys,46.912417,-53.575563,709,-0330,Y
A0B 3C0,NL,St Vincents,46.75522,-53.585959,709,-0330,Y
A0B 3E0,NL,Ship Harbour PB,47.364083,-53.857708,709,-0330,Y
A0B 3H0,NL,Southern Harbour PB,47.714619,-53.972145,709,-0330,Y
A0B 3J0,NL,Sunnyside,47.897371,-53.949718,709,-0330,Y
A0B 3K0,NL,Whitbourne,47.411028,-53.539313,709,-0330,Y
A0B 3L0,NL,Whiteway,47.665428,-53.485436,709,-0330,Y
A0B 3M0,NL,Winterton,47.955667,-53.329588,709,-0330,Y
A0C 0A1,NL,Bunyans Cove,48.352302,-53.904099,709,-0330,Y
A0C 0A2,NL,Newmans Cove,48.589228,-53.191092,709,-0330,Y
A0C 0A3,NL,Plate Cove West,48.498236,-53.508552,709,-0330,Y
A0C 0A4,NL,Port Union,48.496775,-53.08465,709,-0330,Y
A0C 0A5,NL,Bloomfield,48.377923,-53.908825,709,-0330,Y
A0C 0A6,NL,Bonavista,48.651738,-53.112654,709,-0330,Y
A0C 0A7,NL,Elliston,48.633078,-53.040999,709,-0330,Y
A0C 0A8,NL,Knights Cove,48.539774,-53.322372,709,-0330,Y
A0C 0A9,NL,Sweet Bay,48.442516,-53.651167,709,-0330,Y
A0C 0B1,NL,Trinity TB,48.352302,-53.904099,709,-0330,Y
A0C 0B2,NL,Princeton,48.42015,-53.587161,709,-0330,Y
A0C 0B3,NL,Melrose,48.481718,-53.070471,709,-0330,Y
A0C 0B4,NL,Charlottetown,48.436929,-54.008143,709,-0400,Y
A0C 0B5,NL,Summerville,48.431345,-53.55984,709,-0330,Y
A0C 0B6,NL,Hickmans Harbour,48.126029,-53.747821,709,-0330,Y
A0C 0B7,NL,Lethbridge,48.360038,-53.850318,709,-0330,Y
A0C 0B8,NL,Tickle Cove,48.582832,-53.486457,709,-0330,Y
A0C 0B9,NL,Plate Cove East,48.514584,-53.487328,709,-0330,Y
A0C 0C1,NL,Little Catalina,48.542697,-53.048044,709,-0330,Y
A0C 0C2,NL,Kings Cove,48.566774,-53.33775,709,-0330,Y
A0C 0C3,NL,Catalina,48.516572,-53.078629,709,-0330,Y
A0C 0C4,NL,Port Rexton,48.380416,-53.336203,709,-0330,Y
A0C 0C5,NL,Southern Bay,48.396579,-53.627626,709,-0330,Y
A0C 0C6,NL,Port Blandford,48.348269,-54.173444,709,-0330,Y
A0C 0C7,NL,Musgravetown,48.397187,-53.897057,709,-0330,Y
A0C 0C8,NL,Open Hall,48.548629,-53.482171,709,-0330,Y
A0C 0C9,NL,Keels,48.604804,-53.393337,709,-0330,Y
A0C 1A0,NL,Bloomfield,48.377923,-53.908825,709,-0330,Y
A0C 1B0,NL,Bonavista,48.651738,-53.112654,709,-0330,Y
A0C 1E0,NL,Bunyans Cove,48.352302,-53.904099,709,-0330,Y
A0C 1G0,NL,Burgoynes Cove,48.169223,-53.712338,709,-0330,Y
A0C 1H0,NL,Cannings Cove,48.443977,-53.848426,709,-0330,Y
A0C 1J0,NL,Catalina,48.516572,-53.078629,709,-0330,Y
A0C 1K0,NL,Charleston,48.386433,-53.652973,709,-0330,Y
A0C 1L0,NL,Charlottetown,48.436929,-54.008143,709,-0400,Y
A0C 1M0,NL,Duntara,48.595594,-53.368766,709,-0330,Y
A0C 1N0,NL,Elliston,48.633078,-53.040999,709,-0330,Y
A0C 1P0,NL,Hickmans Harbour,48.126029,-53.747821,709,-0330,Y
A0C 1R0,NL,Keels,48.604804,-53.393337,709,-0330,Y
A0C 1S0,NL,Kings Cove,48.566774,-53.33775,709,-0330,Y
A0C 1T0,NL,Knights Cove,48.539774,-53.322372,709,-0330,Y
A0C 1V0,NL,Lethbridge,48.360038,-53.850318,709,-0330,Y
A0C 1W0,NL,Little Catalina,48.542697,-53.048044,709,-0330,Y
A0C 1Y0,NL,Melrose,48.481718,-53.070471,709,-0330,Y
A0C 1Z0,NL,Musgravetown,48.397187,-53.897057,709,-0330,Y
A0C 2A0,NL,Newmans Cove,48.589228,-53.191092,709,-0330,Y
A0C 2B0,NL,Open Hall,48.548629,-53.482171,709,-0330,Y
A0C 2C0,NL,Plate Cove East,48.514584,-53.487328,709,-0330,Y
A0C 2E0,NL,Plate Cove West,48.498236,-53.508552,709,-0330,Y
A0C 2G0,NL,Port Blandford,48.348269,-54.173444,709,-0330,Y
A0C 2H0,NL,Port Rexton,48.380416,-53.336203,709,-0330,Y
A0C 2J0,NL,Port Union,48.496775,-53.08465,709,-0330,Y
A0C 2K0,NL,Princeton,48.42015,-53.587161,709,-0330,Y
A0C 2M0,NL,Southern Bay,48.396579,-53.627626,709,-0330,Y
A0C 2N0,NL,Summerville,48.431345,-53.55984,709,-0330,Y
A0C 2P0,NL,Sweet Bay,48.442516,-53.651167,709,-0330,Y
A0C 2R0,NL,Tickle Cove,48.582832,-53.486457,709,-0330,Y
A0C 2S0,NL,Trinity TB,48.352302,-53.904099,709,-0330,Y
A0E 0A1,NL,Baine Harbour,47.358752,-54.894265,709,-0330,Y
A0E 0A2,NL,Burin,47.045377,-55.171509,709,-0330,Y
A0E 0A3,NL,English Harbour East,47.634299,-54.889794,709,-0330,Y
A0E 0A4,NL,Garnish,47.234996,-55.360264,709,-0330,Y
A0E 0A5,NL,Lamaline,46.858082,-55.80728,709,-0330,Y
A0E 0A6,NL,Marystown,47.165339,-55.155704,709,-0330,Y
A0E 0A7,NL,Swift Current,47.881364,-54.20738,709,-0330,Y
A0E 0A8,NL,Grand Bank,47.096285,-55.759083,709,-0330,Y
A0E 0A9,NL,Hillview,48.037448,-53.923517,709,-0330,Y
A0E 0B1,NL,Lawn,46.949494,-55.538194,709,-0330,Y
A0E 0B2,NL,Red Harbour PB,47.296358,-55.009451,709,-0330,Y
A0E 0B3,NL,St Bernards-Jacques Fontaine,47.528168,-54.945296,709,-0330,Y
A0E 0B4,NL,Lewins Cove,47.092156,-55.232338,709,-0330,Y
A0E 0B5,NL,Monkstown,47.609437,-54.406442,709,-0330,Y
A0E 0B6,NL,Garden Cove PB,47.88773,-54.157724,709,-0330,Y
A0E 0B7,NL,Terrenceville,47.662416,-54.721406,709,-0330,Y
A0E 0B8,NL,Hodges Cove,48.009079,-53.747821,709,-0330,Y
A0E 0B9,NL,Little Bay East,47.554413,-54.850794,709,-0330,Y
A0E 0C1,NL,Burin Bay Arm,47.08381,-55.198577,709,-0330,Y
A0E 0C2,NL,Gooseberry Cove,47.559915,-54.838336,709,-0330,Y
A0E 0C3,NL,Harbour Mille,47.579938,-54.88585,709,-0330,Y
A0E 0C4,NL,South East Bight,47.335026,-54.581921,709,-0330,Y
A0E 0C5,NL,Creston,47.141091,-55.212664,709,-0330,Y
A0E 0C6,NL,Parkers Cove,47.395994,-54.862132,709,-0330,Y
A0E 0C7,NL,Fortune,47.072889,-55.828156,709,-0330,Y
A0E 0C8,NL,Creston North,47.149513,-55.189462,709,-0330,Y
A0E 0C9,NL,Rushoon,47.354449,-54.914714,709,-0330,Y
A0E 0E1,NL,Epworth,47.027673,-55.198748,709,-0330,Y
A0E 0E2,NL,Grand Beach,47.126133,-55.514309,709,-0330,Y
A0E 0E3,NL,St Lawrence,46.924462,-55.392226,709,-0330,Y
A0E 1A0,NL,Baine Harbour,47.358752,-54.894265,709,-0330,Y
A0E 1B0,NL,Bay l'Argent,47.545597,-54.893732,709,-0330,Y
A0E 1C0,NL,Boat Harbour West,47.559915,-54.838336,709,-0330,Y
A0E 1E0,NL,Burin,47.045377,-55.171509,709,-0330,Y
A0E 1G0,NL,Burin Bay Arm,47.08381,-55.198577,709,-0330,Y
A0E 1H0,NL,Parkers Cove,47.395994,-54.862132,709,-0330,Y
A0E 1K0,NL,Creston,47.141091,-55.212664,709,-0330,Y
A0E 1L0,NL,Creston North,47.149513,-55.189462,709,-0330,Y
A0E 1M0,NL,English Harbour East,47.634299,-54.889794,709,-0330,Y
A0E 1N0,NL,Epworth,47.027673,-55.198748,709,-0330,Y
A0E 1P0,NL,Fortune,47.072889,-55.828156,709,-0330,Y
A0E 1R0,NL,Frenchmans Cove FB,47.215657,-55.402707,709,-0330,Y
A0E 1S0,NL,Garden Cove PB,47.88773,-54.157724,709,-0330,Y
A0E 1T0,NL,Garnish,47.234996,-55.360264,709,-0330,Y
A0E 1V0,NL,Gooseberry Cove,47.559915,-54.838336,709,-0330,Y
A0E 1W0,NL,Grand Bank,47.096285,-55.759083,709,-0330,Y
A0E 1X0,NL,Grand Beach,47.126133,-55.514309,709,-0330,Y
A0E 1Y0,NL,Grand le Pierre,47.67901,-54.785927,709,-0330,Y
A0E 1Z0,NL,Harbour Mille,47.579938,-54.88585,709,-0330,Y
A0E 2A0,NL,Hillview,48.037448,-53.923517,709,-0330,Y
A0E 2B0,NL,Hodges Cove,48.009079,-53.747821,709,-0330,Y
A0E 2C0,NL,Lamaline,46.858082,-55.80728,709,-0330,Y
A0E 2E0,NL,Lawn,46.949494,-55.538194,709,-0330,Y
A0E 2G0,NL,Lewins Cove,47.092156,-55.232338,709,-0330,Y
A0E 2H0,NL,Little Bay PB,47.559915,-54.838336,709,-0330,Y
A0E 2J0,NL,Little Bay East,47.554413,-54.850794,709,-0330,Y
A0E 2K0,NL,Little Hearts Ease,48.007105,-53.693524,709,-0330,Y
A0E 2L0,NL,Little St Lawrence,46.92885,-55.351761,709,-0330,Y
A0E 2M0,NL,Marystown,47.165339,-55.155704,709,-0330,Y
A0E 2N0,NL,North Harbour PB,47.851892,-54.104245,709,-0330,Y
A0E 2P0,NL,North West Brook,48.016298,-53.955906,709,-0330,Y
A0E 2R0,NL,Red Harbour PB,47.295443,-55.006621,709,-0330,Y
A0E 2S0,NL,Rushoon,47.354449,-54.914714,709,-0330,Y
A0E 2T0,NL,St Bernards-Jacques Fontaine,47.528168,-54.945296,709,-0330,Y
A0E 2V0,NL,St Lawrence,46.924462,-55.392226,709,-0330,Y
A0E 2W0,NL,Swift Current,47.881364,-54.20738,709,-0330,Y
A0E 2X0,NL,Terrenceville,47.662416,-54.721406,709,-0330,Y
A0E 2Y0,NL,Winterland,47.162244,-55.298407,709,-0330,Y
A0E 2Z0,NL,Monkstown,47.609437,-54.406442,709,-0330,Y
A0E 3A0,NL,Petite Forte,47.395086,-54.671108,709,-0330,Y
A0E 3B0,NL,South East Bight,47.335026,-54.581921,709,-0330,Y
A0G 0A1,NL,Aspen Cove,49.459186,-54.105743,709,-0330,Y
A0G 0A2,NL,Cottlesville,49.510696,-54.865479,709,-0330,Y
A0G 0A3,NL,Eastport,48.655092,-53.754695,709,-0330,Y
A0G 0A4,NL,Hare Bay BB,48.854704,-54.010032,709,-0330,Y
A0G 0A5,NL,Indian Bay BB,49.042705,-53.876604,709,-0330,Y
A0G 0A6,NL,Norris Arm,49.087238,-55.267562,709,-0330,Y
A0G 0A7,NL,Port Albert,49.541394,-54.533682,709,-0330,Y
A0G 0A8,NL,Glovertown South,48.669029,-54.000497,709,-0330,Y
A0G 0A9,NL,Birchy Bay,49.363809,-54.726218,709,-0330,Y
A0G 0B1,NL,Glenwood,48.997455,-54.872531,709,-0330,Y
A0G 0B2,NL,Stoneville,49.452045,-54.551809,709,-0330,Y
A0G 0B3,NL,Island Harbour,49.616988,-54.310897,709,-0330,Y
A0G 0B4,NL,Laurenceton,49.191214,-55.275638,709,-0330,Y
A0G 0B5,NL,Little Burnt Bay,49.337069,-55.0752,709,-0330,Y
A0G 0B6,NL,Pound Cove,49.181665,-53.55675,709,-0330,Y
A0G 0B7,NL,Twillingate,49.648304,-54.763934,709,-0330,Y
A0G 0B8,NL,Joe Batts Arm,49.722688,-54.149815,709,-0330,Y
A0G 0B9,NL,Wareham-Centreville,49.012509,-53.88898,709,-0330,Y
A0G 0C1,NL,Benton,48.896583,-54.417869,709,-0330,Y
A0G 0C2,NL,Campbellton,49.292953,-54.935334,709,-0330,Y
A0G 0C3,NL,Carmanville,49.406651,-54.292778,709,-0330,Y
A0G 0C4,NL,Musgrave Harbour,49.447575,-53.961575,709,-0330,Y
A0G 0C5,NL,Trinity BB,48.979573,-53.911144,709,-0330,Y
A0G 0C6,NL,St Chads,48.686582,-53.773338,709,-0330,Y
A0G 0C7,NL,Baytona,49.342055,-54.764962,709,-0330,Y
A0G 0C8,NL,Valley Pond,49.569534,-54.898127,709,-0330,Y
A0G 0C9,NL,Fogo,49.713908,-54.275593,709,-0330,Y
A0G 0E1,NL,Badgers Quay,49.113469,-53.58613,709,-0330,Y
A0G 0E2,NL,Bridgeport,49.551031,-54.874505,709,-0330,Y
A0G 0E3,NL,Cape Freels North,49.260871,-53.499355,709,-0330,Y
A0G 0E4,NL,Dover,48.869594,-53.96888,709,-0330,Y
A0G 0E5,NL,Gander Bay South,49.270154,-54.487373,709,-0330,Y
A0G 0E6,NL,Herring Neck,49.638475,-54.617727,709,-0330,Y
A0G 0E7,NL,Moretons Harbour,49.556796,-54.8672,709,-0330,Y
A0G 0E8,NL,St Brendans,48.868395,-53.652369,709,-0330,Y
A0G 0E9,NL,Sandringham,48.66576,-53.823769,709,-0330,Y
A0G 0G1,NL,Wings Point,49.321079,-54.483937,709,-0330,Y
A0G 0G2,NL,Durrell,49.661902,-54.733434,709,-0330,Y
A0G 0G3,NL,Gander Bay,49.292782,-54.482647,709,-0330,Y
A0G 0G4,NL,Hillgrade,49.568411,-54.701476,709,-0330,Y
A0G 0G5,NL,Summerford,49.490072,-54.80775,709,-0330,Y
A0G 0G6,NL,Comfort Cove-Newstead,49.40158,-54.859386,709,-0330,Y
A0G 0G7,NL,Carters Cove,49.536753,-54.781805,709,-0330,Y
A0G 0G8,NL,Glovertown,48.681849,-54.037441,709,-0330,Y
A0G 0G9,NL,Lumsden,49.298721,-53.610616,709,-0330,Y
A0G 0H1,NL,Ladle Cove,49.473119,-54.061149,709,-0330,Y
A0G 0H2,NL,Gambo South,48.835173,-54.123956,709,-0330,Y
A0G 0H3,NL,Greenspond,49.068325,-53.572985,709,-0330,Y
A0G 0H4,NL,Lewisporte,49.244793,-55.057158,709,-0330,Y
A0G 0H5,NL,Tilting,49.702559,-54.063556,709,-0330,Y
